fecha,prediccion_IA,prediccion_TX,prediccion_MO
2024-10-05,90.47639999999993,82.63529999999997,23.806600000000007
2024-10-06,69.45889999999997,85.24750000000014,43.925000000000054
2024-10-07,23.26849999999999,61.820499999999996,37.900200000000055
2024-10-08,45.56179999999998,76.99149999999997,43.90240000000004
2024-10-09,70.87070000000003,74.28130000000003,27.45320000000002
2024-10-10,50.825,77.71300000000001,12.90879999999999
2024-10-11,45.4834,86.4198,76.49899999999991
2024-10-12,88.86110000000004,83.59810000000007,20.118499999999987
2024-10-13,45.781499999999994,53.19329999999997,53.86650000000003
2024-10-14,65.13010000000007,88.84230000000011,45.392200000000024
2024-10-15,70.97490000000002,68.63940000000002,72.90640000000003
2024-10-16,87.37440000000004,93.73760000000001,44.662199999999984
2024-10-17,74.56349999999993,74.82179999999993,59.12880000000006
2024-10-18,27.9234,49.2883000000001,40.03080000000003
2024-10-19,52.13130000000002,57.935600000000015,60.96049999999992
2024-10-20,76.25220000000004,63.42690000000006,35.78339999999995
2024-10-21,73.38710000000003,61.78859999999999,65.47690000000006
2024-10-22,52.33300000000002,50.00710000000007,12.803799999999997
2024-10-23,44.108499999999964,72.26900000000006,40.495299999999965
2024-10-24,84.65050000000002,80.5373,11.785399999999989
2024-10-25,40.69869999999996,100.0,19.16360000000001
2024-10-26,100.0,35.60909999999994,24.484199999999976
2024-10-27,38.448300000000025,79.37849999999997,46.63130000000002
2024-10-28,61.863199999999985,85.11450000000006,19.692600000000002
2024-10-29,94.56979999999996,100.0,0.0
2024-10-30,60.32259999999999,73.33970000000004,22.732200000000013
2024-10-31,63.517499999999956,58.16090000000003,45.43440000000001
2024-11-01,43.56610000000004,49.61220000000001,37.69430000000004
2024-11-02,87.48480000000006,25.936199999999985,63.61839999999996
2024-11-03,37.97429999999994,50.40140000000006,22.669400000000014
2024-11-04,51.40199999999995,93.68070000000002,46.90220000000005
2024-11-05,66.96519999999992,71.2545,14.236399999999987
2024-11-06,100.0,94.5089,49.4921
2024-11-07,74.37150000000001,89.20809999999992,55.402400000000014
2024-11-08,80.62099999999998,100.0,57.60509999999996
2024-11-09,58.4193,46.040099999999974,55.449700000000014
2024-11-10,76.32179999999998,100.0,68.93009999999998
2024-11-11,45.36330000000004,100.0,20.35329999999997
2024-11-12,40.63849999999996,65.53380000000001,32.95349999999999
2024-11-13,60.40559999999995,43.31820000000002,47.92530000000002
2024-11-14,92.13909999999998,56.988499999999966,49.160499999999985
2024-11-15,63.55029999999995,79.56639999999993,51.64649999999993
2024-11-16,40.30349999999998,61.931900000000034,62.64529999999999
2024-11-17,100.0,100.0,56.575699999999976
2024-11-18,78.55929999999994,75.4679,25.331299999999974
2024-11-19,62.96400000000001,100.0,60.22249999999989
2024-11-20,72.48869999999997,100.0,30.36760000000002
2024-11-21,41.533700000000024,75.48899999999998,35.40440000000003
2024-11-22,82.60700000000001,73.18030000000005,66.3508999999999
2024-11-23,92.20169999999996,43.02560000000003,31.832699999999996
2024-11-24,70.99590000000002,60.28819999999994,42.292900000000046
2024-11-25,70.81320000000007,55.1616,45.11150000000005
2024-11-26,58.66370000000002,54.957299999999975,25.347899999999996
2024-11-27,54.75610000000009,100.0,98.82860000000014
2024-11-28,84.72210000000007,100.0,36.524099999999954
2024-11-29,78.4496999999999,16.284999999999997,4.653000000000003
2024-11-30,80.82760000000006,87.41969999999993,35.34660000000004
2024-12-01,33.52379999999996,56.01909999999992,27.323100000000004
2024-12-02,65.24420000000012,77.13820000000001,35.35140000000002
2024-12-03,40.279099999999985,58.76580000000003,21.526099999999996
2024-12-04,51.44679999999996,42.91980000000005,70.10850000000003
2024-12-05,40.29649999999998,100.0,23.490299999999987
2024-12-06,63.33180000000002,80.2904,66.98949999999992
2024-12-07,80.79150000000006,40.11400000000002,48.03250000000005
2024-12-08,63.966499999999996,81.7978,22.683500000000013
2024-12-09,66.78810000000001,82.52790000000009,64.60759999999999
2024-12-10,35.57470000000001,65.92630000000005,22.9764
2024-12-11,67.46510000000006,48.437600000000046,21.153599999999997
2024-12-12,46.0599,49.26270000000009,51.58829999999998
2024-12-13,51.22759999999997,69.30069999999999,23.78980000000001
2024-12-14,62.29209999999999,41.74550000000003,42.874299999999984
2024-12-15,68.88980000000004,100.0,54.36660000000003
2024-12-16,78.07270000000003,100.0,5.133899999999998
2024-12-17,42.48140000000003,62.21910000000002,8.662499999999989
2024-12-18,46.06480000000001,69.83039999999995,32.68549999999996
2024-12-19,60.697300000000034,62.4485,36.0765
2024-12-20,94.89209999999994,100.0,35.49759999999997
2024-12-21,57.2999,97.16189999999992,16.097999999999995
2024-12-22,43.90740000000001,100.0,55.35120000000003
2024-12-23,17.662500000000016,53.527,15.608300000000003
2024-12-24,53.71370000000005,100.0,43.16490000000001
2024-12-25,48.25540000000003,97.19069999999991,34.6802
2024-12-26,100.0,78.40879999999997,60.07339999999995
2024-12-27,40.080799999999954,66.37969999999996,43.23189999999999
2024-12-28,62.90109999999997,80.72109999999995,46.17989999999998
2024-12-29,76.73599999999999,72.91930000000006,68.63859999999995
2024-12-30,80.27659999999993,84.48630000000004,72.22749999999996
